,salo,jing
129-04367,68.0,62.0
129-04368,67.0,62.0
129-04369,67.0,62.0
129-04370,69.0,63.0
129-04371,65.0,61.0
129-04372,67.0,62.0
129-04373,67.0,62.0
129-04374,66.0,60.0
129-04375,62.0,56.0
129-04376,63.0,59.0
129-04377,64.0,60.0
129-04378,66.0,61.0
129-04379,65.0,61.0
129-04380,67.0,62.0
129-04381,68.0,62.0
129-04382,68.0,62.0
129-04383,65.0,56.0
129-04384,69.0,63.0
129-04385,68.0,63.0
129-04386,69.0,63.0
129-04387,73.0,65.0
129-04388,72.0,65.0
129-04389,72.0,65.0
129-04390,73.0,65.0
129-04391,73.0,65.0
129-04392,73.0,65.0
129-04393,72.0,65.0
129-04394,73.0,65.0
129-04395,73.0,65.0
129-04396,73.0,65.0
129-04397,70.0,65.0
129-04398,72.0,65.0
129-04422,71.0,65.0
129-04423,71.0,65.0
129-04424,71.0,65.0
129-04425,70.0,64.0
129-04427,63.0,58.0
129-04428,67.0,62.0
129-04429,66.0,60.0
129-04430,41.0,36.0
129-04431,61.0,56.0
129-04432,60.0,49.0
129-04433,58.0,52.0
129-04434,54.0,50.0
129-08581,52.0,47.0
129-08582,59.0,55.0
129N04098,67.0,63.0
129N04099,64.0,61.0
129N04100,64.0,61.0
129N04101,67.0,61.0
129N04102,67.0,62.0
129N04103,67.0,62.0
129N04104,59.0,56.0
129N04105,63.0,58.0
129N04106,63.0,59.0
129N04107,67.0,62.0
129N04108,64.0,59.0
129N04109,62.0,55.0
129N04110,62.0,56.0
129N04111,63.0,57.0
129N04112,63.0,55.0
129N04113,63.0,57.0
129N04114,61.0,56.0
129N04115,61.0,56.0
129N04120,54.0,17.0
129N04121,57.0,12.0
129N04122,55.0,50.0
129N04123,54.0,52.0
129N04127,68.0,64.0
129N04128,65.0,59.0
129N04129,68.0,62.0
129N04130,70.0,65.0
129N04131,72.0,64.0
129N04132,69.0,61.0
129N04133,70.0,64.0
129N04134,70.0,62.0
129N04135,71.0,65.0
129N04136,72.0,65.0
129N04137,72.0,65.0
129N04138,72.0,65.0
129N04139,71.0,65.0
129N04140,70.0,65.0
129N04141,69.0,63.0
129N04285,72.0,65.0
129N04286,70.0,65.0
129N04287,70.0,65.0
129N04288,69.0,65.0
129N04289,71.0,65.0
129N04290,71.0,65.0
129N04291,70.0,65.0
129N04292,70.0,64.0
129N04294,69.0,63.0
129N04295,70.0,64.0
129N04296,67.0,60.0
129N04297,69.0,63.0
129N04298,70.0,64.0
129N04299,71.0,65.0
129N04300,69.0,64.0
129N04301,69.0,64.0
129N04302,69.0,64.0
129N04303,69.0,64.0
129N04304,68.0,63.0
129N04305,68.0,63.0
129N04306,69.0,63.0
129N04307,69.0,60.0
129N04308,69.0,62.0
129N04309,69.0,64.0
129N04311,67.0,62.0
129N04312,67.0,63.0
129N04313,67.0,63.0
129N04314,67.0,63.0
129N04315,70.0,65.0
129N04316,69.0,64.0
129N04317,67.0,63.0
129N04318,70.0,65.0
129N04319,70.0,65.0
129N04320,70.0,65.0
129N04321,69.0,65.0
129N04322,69.0,64.0
129N04323,69.0,64.0
129N04324,70.0,65.0
129N04346,71.0,65.0
129N04347,72.0,65.0
129N04348,72.0,65.0
129N04349,69.0,62.0
129N04350,69.0,65.0
129N04352,65.0,61.0
129N04353,67.0,61.0
129N04354,66.0,60.0
129N04355,67.0,63.0
129N04356,61.0,57.0
129N04357,64.0,62.0
129N04358,64.0,60.0
129N04359,64.0,59.0
129N04360,66.0,60.0
129N04361,68.0,63.0
129N04364,66.0,59.0
129N04365,67.0,61.0
129N04366,67.0,60.0
129N04367,70.0,63.0
129N04368,68.0,62.0
129N04369,68.0,63.0
129N04370,68.0,63.0
129N04371,69.0,62.0
129N04372,65.0,60.0
129N04373,66.0,61.0
129N04374,67.0,62.0
129N04375,67.0,62.0
129N04376,61.0,54.0
129N04377,62.0,57.0
129N04378,66.0,61.0
129N04379,65.0,60.0
129N04380,66.0,61.0
129N04381,67.0,61.0
129N04382,69.0,63.0
129N04383,65.0,57.0
129N04384,67.0,60.0
129N04385,66.0,60.0
129N04386,70.0,64.0
129N04387,72.0,65.0
129N04388,72.0,65.0
129N04389,73.0,65.0
129N04390,73.0,65.0
129N04391,73.0,65.0
129N04392,74.0,65.0
129N04393,72.0,65.0
129N04394,73.0,65.0
129N04395,73.0,65.0
129N04396,73.0,65.0
129N04397,74.0,65.0
129N04398,72.0,65.0
129N04423,70.0,65.0
129N04424,71.0,65.0
129N04425,70.0,65.0
129N04426,50.0,42.0
129N04428,67.0,63.0
129N04429,68.0,62.0
129N04432,61.0,53.0
129N04433,60.0,49.0
129N04434,56.0,53.0
129P04098,66.0,62.0
129P04099,63.0,59.0
129P04100,66.0,62.0
129P04101,68.0,62.0
129P04102,70.0,65.0
129P04103,66.0,62.0
